"Year"	"Vessel"	"station"	"lat"	"long"	"year"	"month"	"Chrysaora melanaster (catch number)"	"date"
"1"	2012	"OD"	1	55.9991	-162.0079	2012	8	50.5333872925941	2012-08-01
"2"	2012	"OD"	3	56.4943	-162.0478	2012	8	1111.75213675214	2012-08-01
"3"	2012	"OD"	6	56.4898	-161.0706	2012	8	871.634782608696	2012-08-01
"4"	2012	"OD"	7	56.997	-161.0166	2012	8	271.156036446469	2012-08-01
"5"	2012	"OD"	9	56.9846	-160.0641	2012	8	9392.61114589856	2012-08-01
"6"	2012	"OD"	11	57.511	-159.9893	2012	8	300.092187139894	2012-08-01
"7"	2012	"OD"	12	58.0043	-160.0303	2012	8	63.6794282797346	2012-08-01
"8"	2012	"OD"	13	57.9948	-161.029	2012	8	32.1197387518142	2012-08-01
"9"	2012	"OD"	14	57.5298	-160.9611	2012	8	702.036168787676	2012-08-01
"10"	2012	"OD"	15	57.0043	-162.0116	2012	8	183.464707989968	2012-08-01
"11"	2012	"OD"	16	57.5161	-161.985	2012	8	166.186746987952	2012-08-01
"12"	2012	"OD"	17	57.9898	-161.997	2012	8	23.4163208852005	2012-08-01
"13"	2012	"OD"	18	57.9961	-162.914	2012	8	4.85961123110151	2012-08-01
"14"	2012	"OD"	20	57.5103	-163.0216	2012	8	62.1770946681175	2012-08-01
"15"	2012	"OD"	21	57.0036	-163.0403	2012	8	829.085222121487	2012-08-01
"16"	2012	"OD"	22	56.4958	-163.0256	2012	8	408.229537366548	2012-08-01
"17"	2012	"OD"	24	56.014	-162.9531	2012	8	837.68267223382	2012-08-01
"18"	2012	"OD"	26	55.5048	-163.0415	2012	8	240.388513513513	2012-08-01
"19"	2012	"OD"	28	55.4943	-164.0038	2012	8	91.6934174932371	2012-08-01
"20"	2012	"OD"	30	55.9855	-164.059	2012	8	204.419642857143	2012-08-01
"21"	2012	"OD"	32	56.503	-164.0233	2012	8	138.754371805219	2012-08-01
"22"	2012	"OD"	33	57.0333	-164.0581	2012	8	461.006006006006	2012-08-01
"23"	2012	"OD"	34	57.5028	-164.0023	2012	8	37.6515463917526	2012-08-01
"24"	2012	"OD"	35	58.017	-163.9521	2012	8	1	2012-08-01
"25"	2012	"OD"	37	58.4945	-164.0521	2012	8	2	2012-08-01
"26"	2012	"OD"	38	58.4971	-165.0386	2012	8	0	2012-08-01
"27"	2012	"OD"	39	57.979	-165.0173	2012	8	2	2012-08-01
"28"	2012	"OD"	40	57.523	-164.9521	2012	8	368.046477850399	2012-08-01
