"LONG"	"LAT"	"Date"	"month"	"year"
"1"	"76°29.5000200000004W"	-13.178333	1972-03-26	3	1972
"2"	"76°34.7999999999999W"	-13.52	1972-03-26	3	1972
"3"	"76°30W"	-13.883333	1972-03-26	3	1972
"4"	"76°4.99997999999977W"	-14.726667	1972-03-27	3	1972
"5"	"76°17.80002W"	-14.9	1972-03-27	3	1972
"6"	"75°54.0000000000003W"	-14.933333	1972-03-27	3	1972
"7"	"75°37.9000199999996W"	-15.005	1972-03-27	3	1972
"8"	"75°3.60000000000014W"	-15.778333	1972-03-28	3	1972
"9"	"74°24.0000000000003W"	-15.966667	1972-03-28	3	1972
"10"	"75°13.0000200000001W"	-15.666667	1972-03-30	3	1972
"11"	"75°10.9999800000003W"	-15.333333	1972-03-30	3	1972
"12"	"76°32.9999999999998W"	-13.383333	1972-09-05	9	1973
"13"	"79°10.0000200000002W"	-8.566667	1972-09-05	9	1973
"14"	"79°17.3766599999996W"	-7.966667	1972-09-05	9	1973
"15"	"74°32.9999999999998W"	-15.766667	1972-09-05	9	1973
"16"	"81°55.9999800000003W"	-6.033333	1972-09-05	9	1973
"17"	"81°1.00001999999989W"	-6.566667	1972-09-05	9	1973
"18"	"82°10.0000200000002W"	-6.766667	1972-09-05	9	1973
"19"	"80°9.00000000000034W"	-6.85	1972-09-05	9	1973
"20"	"80°40.0000200000002W"	-6.866667	1972-09-05	9	1973
"21"	"81°2.99999999999983W"	-6.883333	1972-09-05	9	1973
"22"	"79°42.0000000000002W"	-7.416667	1972-09-05	9	1973
"23"	"80°22.9999799999996W"	-7.166667	1972-09-05	9	1973
"24"	"80°31.9999799999999W"	-6.716667	1972-09-05	9	1973
"25"	"80°1.00001999999989W"	-7.6	1972-09-05	9	1973
"26"	"79°46.0000199999999W"	-8.033333	1972-09-05	9	1973
"27"	"80°52.9999799999996W"	-7.983333	1972-09-05	9	1973
"28"	"79°22.0000200000004W"	-8.666667	1972-09-05	9	1973
"29"	"78°55.0000200000002W"	-8.666667	1972-09-05	9	1973
"30"	"78°42.0000000000002W"	-9.4	1972-09-05	9	1973
"31"	"78°34.0000199999997W"	-10.1	1972-09-05	9	1973
"32"	"78°54.0000000000003W"	-10.1	1972-09-05	9	1973
"33"	"79°34.0000199999997W"	-10.1	1972-09-05	9	1973
"34"	"78°7.0000200000004W"	-10.2	1972-09-05	9	1973
"35"	"78°13.9999800000001W"	-10.2	1972-09-05	9	1973
"36"	"78°15W"	-10.2	1972-09-05	9	1973
"37"	"78°1.00001999999989W"	-10.6	1972-09-05	9	1973
"38"	"78°10.9999800000003W"	-10.666667	1972-09-05	9	1973
"39"	"78°35.9999999999997W"	-10.666667	1972-09-05	9	1973
"40"	"78°27.0000000000002W"	-11.333333	1972-09-05	9	1973
"41"	"77°43.0000200000001W"	-11.983333	1972-09-05	9	1973
"42"	"77°52.9999799999996W"	-12	1972-09-05	9	1973
"43"	"77°54.0000000000003W"	-11.983333	1972-09-05	9	1973
"44"	"78°20.9999999999997W"	-10.608333	1972-09-05	9	1973
"45"	"78°16.9999799999999W"	-10.55	1972-09-05	9	1973
"46"	"77°55.0000200000002W"	-10.75	1972-09-05	9	1973
"47"	"77°20.9999999999997W"	-11.866667	1972-09-05	9	1973
"48"	"77°10.0000200000002W"	-12.333333	1972-09-05	9	1973
"49"	"77°4.99997999999977W"	-12.483333	1972-09-05	9	1973
"50"	"78°4.99997999999977W"	-12.5	1972-09-05	9	1973
"51"	"77°7.9999799999996W"	-13.316667	1972-09-05	9	1973
"52"	"77°49.0000199999997W"	-13.45	1972-09-05	9	1973
"53"	"76°27.0000000000002W"	-13.783333	1972-09-05	9	1973
"54"	"77°16.0000199999999W"	-13.733333	1972-09-05	9	1973
"55"	"77°58.9999800000001W"	-13.683333	1972-09-05	9	1973
"56"	"76°52.9999799999996W"	-14.05	1972-09-05	9	1973
"57"	"76°43.9999800000001W"	-13.633333	1972-09-05	9	1973
"58"	"76°55.9999800000003W"	-13.95	1972-09-05	9	1973
"59"	"76°13.0000200000001W"	-14.533333	1972-09-05	9	1973
"60"	"76°55.0000200000002W"	-14.605	1972-09-05	9	1973
"61"	"75°50.9999999999997W"	-14.883333	1972-09-05	9	1973
"62"	"76°16.0000199999999W"	-14.833333	1972-09-05	9	1973
"63"	"77°17.9999999999998W"	-14.716667	1972-09-05	9	1973
"64"	"75°45W"	-15.45	1972-09-05	9	1973
"65"	"76°46.0000199999999W"	-15.6	1972-09-05	9	1973
"66"	"74°54.0000000000003W"	-15.966667	1972-09-05	9	1973
"67"	"75°19.9999799999998W"	-15.866667	1972-09-05	9	1973
"68"	"74°46.9999799999999W"	-15.656667	1972-09-05	9	1973
"69"	"75°37.0000200000004W"	-15.821667	1972-09-05	9	1973
"70"	"75°47.9999999999998W"	-15.55	1972-09-06	9	1973
